timestamp,lat,lon,BT_11,BT_12,BTD,Cloud_Mask_Binary,Cloud_Mask_Raw,CTT,CTH,Cloud_Phase,GPM_precipitation_rate
2022-11-19 03:55:00,10.013461,87.073875,284.6,282.61,1.99,1.0,0.0,289.87,1250.0,1.0,0.4199999868869781
2022-11-19 05:30:00,10.01346,81.394295,202.63,202.74,-0.12,1.0,0.0,196.98,15700.0,2.0,0.0099999997764825
2022-11-23 15:45:00,10.013899,90.32199,240.53,239.53,1.01,1.0,0.0,228.57,11400.0,2.0,0.2199999988079071
2022-11-20 04:35:00,10.014019,84.95776,237.41,234.94,2.46,1.0,0.0,214.73,13200.0,2.0,1.5
2022-11-24 04:00:00,10.014031,96.67999,278.22,274.26,3.97,1.0,0.0,220.84,12450.0,2.0,0.1799999922513961
2022-11-23 15:45:00,10.014543,89.50706,235.22,234.91,0.31,1.0,0.0,237.52,10400.0,2.0,0.8399999737739563
2022-11-24 04:00:00,10.01471,94.22461,203.64,203.39,0.25,1.0,0.0,200.97,14950.0,2.0,1.0399999618530271
2022-11-21 03:35:00,10.014782,96.644966,208.03,207.73,0.3,1.0,0.0,202.36,14600.0,2.0,0.0599999986588954
2022-11-22 04:20:00,10.014972,83.3025,288.54,287.03,1.51,1.0,0.0,287.75,2300.0,1.0,0.1899999976158142
2022-11-21 16:05:00,10.015285,91.792656,253.25,249.11,4.15,1.0,0.0,223.51,12100.0,2.0,0.1400000005960464
2022-11-20 17:00:00,10.015502,79.18049,293.06,291.86,1.2,0.0,2.0,,,0.0,0.0199999995529651
2022-11-24 04:00:00,10.015583,94.840744,194.79,194.91,-0.12,1.0,0.0,192.8,16450.0,2.0,6.009999752044678
2022-11-19 16:20:00,10.01573,85.160736,214.04,212.24,1.8,1.0,0.0,193.7,15750.0,2.0,1.2799999713897705
2022-11-21 03:35:00,10.015988,95.944214,229.38,227.38,2.0,1.0,0.0,213.85,13150.0,2.0,0.0399999991059303
2022-11-23 15:45:00,10.016272,96.75573,211.88,211.2,0.68,1.0,0.0,204.25,14250.0,2.0,0.5799999833106995
2022-11-24 04:00:00,10.016403,96.33985,255.84,251.46,4.38,1.0,0.0,204.91,14250.0,2.0,1.0299999713897705
2022-11-24 04:00:00,10.016417,96.060715,232.01,230.81,1.2,1.0,0.0,214.63,13150.0,2.0,2.429999828338623
2022-11-19 16:20:00,10.016573,83.92511,195.69,195.98,-0.29,1.0,0.0,187.46,16450.0,2.0,0.5799999833106995
2022-11-24 04:00:00,10.016722,93.902725,209.57,209.35,0.22,1.0,0.0,204.66,14250.0,2.0,2.259999990463257
2022-11-22 04:20:00,10.01675,83.503105,280.81,280.0,0.81,1.0,0.0,279.9,4800.0,1.0,0.7999999523162842
2022-11-23 03:20:00,10.01679,95.15464,245.14,244.07,1.07,1.0,0.0,210.91,13500.0,6.0,0.3799999952316284
2022-11-22 04:20:00,10.016817,96.47338,217.77,217.12,0.64,1.0,0.0,207.8,13900.0,2.0,0.4599999785423279
2022-11-23 15:45:00,10.016901,95.75138,227.16,225.49,1.67,1.0,0.0,210.88,13500.0,2.0,0.2800000011920929
2022-11-20 17:00:00,10.017041,69.02064,290.77,290.01,0.76,1.0,0.0,283.82,4750.0,1.0,0.1499999910593032
2022-11-19 16:20:00,10.017171,87.77988,215.43,215.14,0.29,1.0,0.0,211.42,13550.0,2.0,3.929999828338623
2022-11-20 04:35:00,10.01729,83.645485,233.17,232.39,0.77,1.0,0.0,220.66,12450.0,2.0,1.9299999475479128
2022-11-23 15:45:00,10.017645,90.10673,241.31,240.58,0.73,1.0,0.0,237.52,10400.0,2.0,2.619999885559082
2022-11-19 16:20:00,10.017656,87.45084,214.13,214.31,-0.18,1.0,0.0,208.45,13900.0,2.0,5.449999809265137
2022-11-24 04:00:00,10.017827,93.57615,229.91,229.47,0.43,1.0,0.0,229.58,11400.0,2.0,0.209999993443489
2022-11-19 16:20:00,10.01784,82.729645,218.9,218.36,0.54,1.0,0.0,208.02,13900.0,2.0,1.2999999523162842
2022-11-21 16:05:00,10.017931,96.43533,205.41,204.84,0.57,1.0,0.0,198.93,15350.0,2.0,0.2899999916553497
2022-11-19 03:55:00,10.017964,86.19836,285.06,283.32,1.74,1.0,0.0,288.35,1000.0,1.0,1.329999923706055
2022-11-19 16:20:00,10.018132,82.98948,217.89,217.19,0.7,1.0,0.0,204.53,14250.0,2.0,2.549999952316284
2022-11-19 16:20:00,10.018186,88.1222,249.98,247.57,2.41,1.0,0.0,233.16,11100.0,2.0,0.6499999761581421
2022-11-23 15:45:00,10.01818,96.094505,211.12,210.62,0.5,1.0,0.0,204.47,14250.0,2.0,0.2899999916553497
2022-11-23 15:45:00,10.018302,96.441696,220.57,219.63,0.94,1.0,0.0,210.88,13500.0,2.0,0.3700000047683716
